QGPIORecord, QRC v6.1.0, 15-12-2021 @ 19:07:26, Windows 10 Version 2009, 10.0.19042, x86_64,,,,,,,
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
28101,-0.33098,0,-0.0017978,1.55,0.178818,0,0.350624,0.249098,-0.249101,2.79E-05,-3.21E-05,0.0003635
28110,-0.0576532,0,-0.00179973,1.56,0.171806,-0.350624,-0.697742,0.249098,-0.2491,2.79E-05,-2.07E-05,0.0003635
28121,0.0837734,0,0.00243658,1.57,0.161287,-0.350624,-1.05187,0.251411,-0.251218,2.79E-05,0.00229256,0.0003635
28131,0.322731,0,-0.00145149,1.58,0.157781,-0.697742,-0.347118,0.249098,-0.249274,2.79E-05,-0.00209551,0.0003635
28141,0.122797,0,-0.00177124,1.59,0.157781,-0.350624,0,0.249098,-0.249114,2.79E-05,-0.000190362,0.0003635
28150,-0.0167962,0,0.00243896,1.6,0.161287,0,0.350624,0.251411,-0.251219,2.79E-05,0.0022786,0.0003635
28161,-0.101438,0,-0.00145128,1.61,0.161287,0,0,0.249098,-0.249274,2.79E-05,-0.0020967,0.0003635
28171,-0.114946,0,-0.00177121,1.62,0.157781,0,-0.347118,0.249098,-0.249114,2.79E-05,-0.000190467,0.0003635
28181,-1.75667,0,-0.0692028,1.63,0.157781,0,0,0.212308,-0.215399,2.79E-05,-0.0368238,0.0003635
28191,-0.531341,0,-0.00734323,1.64,0.157781,0,0,0.249098,-0.246328,2.79E-05,0.0330078,0.0003635
28200,0.507087,0,0.00198072,1.65,0.147262,-1.05187,-1.04486,0.251411,-0.25099,2.79E-05,0.00500888,0.0003635
28211,0.285104,0,-0.00148898,1.66,0.136743,-0.697742,-1.04837,0.249098,-0.249256,2.79E-05,-0.00187214,0.0003635
28221,-0.475143,0,-0.00177431,1.67,0.136743,0.350624,0,0.249098,-0.249113,2.79E-05,-0.000171989,0.0003635
28231,-0.248108,0,-0.0017978,1.68,0.14025,0,0.350624,0.249098,-0.249101,2.79E-05,-3.22E-05,0.0003635
28240,-0.25528,0,-0.00179973,1.69,0.143756,0,0.350624,0.249098,-0.2491,2.79E-05,-2.07E-05,0.0003635
28251,0.0152769,0,-0.00179988,1.7,0.14025,-0.347118,-0.347118,0.249098,-0.2491,2.79E-05,-1.97E-05,0.0003635
28261,0.0563508,0,-0.00179988,1.71,0.136743,-0.350624,-0.350624,0.249098,-0.2491,2.79E-05,-1.97E-05,0.0003635
28271,-0.185421,0,-0.00179988,1.72,0.133237,0,-0.350624,0.249098,-0.2491,2.79E-05,-1.97E-05,0.0003635
28280,0.190646,0,0.00243658,1.73,0.133237,-0.350624,0,0.251411,-0.251218,2.79E-05,0.00229263,0.0003635
28291,-0.12859,0,-0.00145149,1.74,0.133237,0,0,0.249098,-0.249274,2.79E-05,-0.00209551,0.0003635
28301,-0.142095,0,-0.00177124,1.75,0.133237,0,0,0.249098,-0.249114,2.79E-05,-0.000190362,0.0003635
28311,-1.85595,0,-0.0721782,1.76,0.133237,0,0,0.210684,-0.213911,2.79E-05,-0.0384478,0.0003635
28320,-0.576214,0,-0.00758794,1.77,0.133237,0,0,0.249098,-0.246206,2.79E-05,0.0344657,0.0003635
28331,0.466687,0,0.00196058,1.78,0.122718,-1.05187,-1.04486,0.251411,-0.25098,2.79E-05,0.00512879,0.0003635
28341,0.245073,0,-0.00149062,1.79,0.1122,-0.697742,-1.04837,0.249098,-0.249255,2.79E-05,-0.00186227,0.0003635
28351,-0.234645,0,-0.00177446,1.8,0.1122,0,0,0.249098,-0.249113,2.79E-05,-0.000171185,0.0003635
28361,-0.139542,0,0.00243866,1.81,0.115706,0,0.350624,0.251411,-0.251219,2.79E-05,0.00228018,0.0003635
28370,-0.224178,0,-0.00145131,1.82,0.119212,0,0.350624,0.249098,-0.249274,2.79E-05,-0.00209655,0.0003635
28381,-0.237686,0,-0.00177121,1.83,0.115706,0,-0.347118,0.249098,-0.249114,2.79E-05,-0.000190452,0.0003635
28391,0.0351549,0,-0.00179753,1.84,0.108693,-0.350624,-0.697742,0.249098,-0.249101,2.79E-05,-3.37E-05,0.0003635
28401,0.0738391,0,-0.0017997,1.85,0.108693,-0.350624,0,0.249098,-0.2491,2.79E-05,-2.08E-05,0.0003635
28410,-0.0652343,0,0.00243658,1.86,0.108693,0,0,0.251411,-0.251218,2.79E-05,0.00229254,0.0003635
28421,-0.0471293,0,0.00278503,1.87,0.108693,0,0,0.251411,-0.251393,2.79E-05,0.000216782,0.0003635
28431,-0.138099,0,-0.00142282,1.88,0.108693,0,0,0.249098,-0.249289,2.79E-05,-0.00226624,0.0003635
28441,-1.7862,0,-0.0691742,1.89,0.108693,0,0,0.212308,-0.215413,2.79E-05,-0.0369945,0.0003635
28450,-0.561388,0,-0.00734088,1.9,0.108693,0,0,0.249098,-0.24633,2.79E-05,0.0329937,0.0003635
28461,0.371488,0,-0.00225559,1.91,0.0981748,-1.04837,-1.04486,0.249098,-0.248872,2.79E-05,0.00269544,0.0003635
28471,-0.0483809,0,-0.00183737,1.92,0.0911623,-0.350624,-0.701248,0.249098,-0.249081,2.79E-05,0.000203639,0.0003635
28481,-0.289467,0,-0.00180298,1.93,0.0911623,0,0,0.249098,-0.249099,2.79E-05,-1.28E-06,0.0003635
