QGPIORecord, QRC v6.1.0, 23-12-2021 @ 15:27:47, Windows 10 Version 2009, 10.0.22000, x86_64
Time, desiredVelocityCart, VoltA, uA, P13, P22, P23, P33, x1, x2, x3, y1, y2
26264, 0.117159, 1.77918, 1.77918, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.246826, -0.0165597, -0.00860619, 0.24576, -0.00460644
26273, 0.110593, 1.81453, 1.81453, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.248059, -0.0249612, -0.00492259, 0.247032, -0.0138193
26284, 0.104261, 1.31722, 1.31722, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.249254, -0.0328829, -0.00102445, 0.248305, -0.0230322
26294, 0.0980228, 1.30705, 1.30705, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.250506, -0.0393071, 0.00498817, 0.249693, -0.0291741
26304, 0.0924621, 1.6201, 1.6201, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.251572, -0.0447021, 0.011843, 0.250735, -0.0353161
26314, 0.0874645, 1.72802, 1.72802, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.252501, -0.0494463, 0.018666, 0.251661, -0.041458
26323, 0.0826921, 1.31676, 1.31676, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.253452, -0.053216, 0.0260578, 0.252702, -0.0460644
26334, 0.0781694, 1.11978, 1.11978, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.254414, -0.0563648, 0.0331907, 0.253743, -0.0506709
26344, 0.0740786, 1.2038, 1.2038, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.255312, -0.0585919, 0.0406911, 0.254669, -0.0537418
26354, 0.0704699, 1.31605, 1.31605, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.25612, -0.060265, 0.0477758, 0.255479, -0.0568128
26363, 0.0673737, 1.20723, 1.20723, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.256826, -0.0610758, 0.055128, 0.256173, -0.0583483
26374, 0.0644714, 1.35869, 1.35869, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.257568, -0.0613541, 0.0620153, 0.256983, -0.0598837
