QGPIORecord, QRC v6.1.0, x86_64, Windows 10 Version 2009,, 22-12-2021 @ 11:14:12, 10.0.19042,,,,,,
Time, trajectoryV, P11, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
130504,0.757576,1.01E-05,0,4.33E-05,2.21E-05,0,0.000386342,-0.295411,0.143939,0.762363,-0.291741,0.11721
130514,0.757576,1.01E-05,0,4.33E-05,2.21E-05,0,0.000386342,-0.294615,0.151515,0.792641,-0.294812,0.1245
130525,0.757576,1.01E-05,0,4.33E-05,2.21E-05,0,0.000386342,-0.291967,0.159091,0.821116,-0.294812,0.131789
130534,0.757576,1.01E-05,0,4.33E-05,2.21E-05,0,0.000386342,-0.288895,0.166667,0.843595,-0.294812,0.138963
130544,0.757576,1.01E-05,0,4.33E-05,2.22E-05,0,0.000386342,-0.28617,0.174242,0.85912,-0.294812,0.146252
130554,0.757576,1.01E-05,0,4.33E-05,2.22E-05,0,0.000386342,-0.281971,0.181818,0.875126,-0.291741,0.153426
130565,0.757576,1.01E-05,0,4.33E-05,2.22E-05,0,0.000386342,-0.277284,0.189394,0.888279,-0.28867,0.160716
130574,0.757576,1.01E-05,0,4.33E-05,2.23E-05,0,0.000386342,-0.271608,0.19697,0.900797,-0.284064,0.168352
130584,0.757576,1.01E-05,0,4.33E-05,2.23E-05,0,0.000386342,-0.264615,0.204545,0.913768,-0.277922,0.175989
130594,0.757576,1.01E-05,0,4.33E-05,2.23E-05,0,0.000386342,-0.257182,0.212121,0.924208,-0.27178,0.18351
130605,0.757576,1.01E-05,0,4.33E-05,2.23E-05,0,0.000386342,-0.24875,0.219697,0.934449,-0.264103,0.190799
130614,0.757576,1.01E-05,0,4.33E-05,2.24E-05,0,0.000386342,-0.240029,0.227273,0.942229,-0.256425,0.198089
130624,0.757576,1.01E-05,0,4.33E-05,2.24E-05,0,0.000386342,-0.230348,0.234848,0.950217,-0.247212,0.20561
130634,0.757576,1.01E-05,0,4.33E-05,2.24E-05,0,0.000386342,-0.220358,0.242424,0.956243,-0.237999,0.213246
130644,0.757576,1.01E-05,0,4.33E-05,2.25E-05,0,0.000386342,-0.209363,0.25,0.96293,-0.227251,0.220883
130655,0.757576,1.01E-05,0,4.33E-05,2.25E-05,0,0.000386342,-0.198008,0.257576,0.968004,-0.216503,0.228288
