QGPIORecord, QRC v6.1.0, 21-12-2021 @ 19:50:32, Windows 10 Version 2009, 10.0.19042, x86_64
Time, trajectoryV, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2
63273, 0, -0.000231412, -0.051446, 0.0209604, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0522063
63284, 0, -0.000231412, -0.0503089, 0.0243606, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0522063
63294, 0, -0.000231412, -0.0486252, 0.028512, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0506709
63304, 0, -0.000231412, -0.0456489, 0.0355028, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0475999
63313, 0, -0.000231412, -0.0431174, 0.039081, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0460644
63324, 0, -0.000231412, -0.0399272, 0.0435792, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0429934
63334, 0, -0.000231412, -0.0375283, 0.0441808, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.041458
63344, 0, -0.000231412, -0.0346151, 0.0460025, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.038387
63353, 0, -0.000231412, -0.0314477, 0.0478801, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0353161
63364, 0, -0.000231412, -0.0271324, 0.0525638, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0307096
63374, 0, -0.000231412, -0.0233087, 0.054129, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0276386
63384, 0, -0.000231412, -0.0198832, 0.0536889, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0245677
63393, 0, -0.000231412, -0.015673, 0.0554704, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0199612
63404, 0, -0.000231412, -0.012112, 0.0543714, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0168903
63414, 0, -0.000231412, -0.00791265, 0.0551874, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0122838
63424, 0, -0.000231412, -0.00443169, 0.0531475, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00921288
63433, 0, -0.000231412, -0.000331574, 0.0532038, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00460644
63443, 0, -0.000231412, 0.00412445, 0.0539545, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0
63454, 0, -0.000231412, 0.00767874, 0.0512682, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00307096
63464, 0, -0.000231412, 0.0106842, 0.0471865, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00614192
63474, 0, -0.000231412, 0.0144767, 0.0462773, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0107484
63483, 0, -0.000231412, 0.0176961, 0.0434335, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0138193
63494, 0, -0.000231412, 0.0205866, 0.0399522, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0168903
63504, 0, -0.000231412, 0.0233259, 0.0365781, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0199612
63514, 0, -0.000231412, 0.0260274, 0.0336538, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0230322
63523, 0, -0.000231412, 0.0276873, 0.0279391, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0245677
63534, 0, -0.000231412, 0.0298727, 0.0251176, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0276386
63544, 0, -0.000231412, 0.0313829, 0.0206742, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0291741
63554, 0, -0.000231412, 0.0325577, 0.0161374, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0307096
63563, 0, -0.000231412, 0.0336225, 0.0122665, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0322451
63574, 0, -0.000231412, 0.0347065, 0.00931049, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0337806
63584, 0, -0.000231412, 0.0348033, 0.00390037, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0337806
63594, 0, -0.000231412, 0.035469, 0.00159659, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0353161
63603, 0, -0.000231412, 0.0354897, -0.00221419, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0353161
63613, 0, -0.000231412, 0.0351933, -0.00607172, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0353161
63624, 0, -0.000231412, 0.0337305, -0.0125839, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0337806
63634, 0, -0.000231412, 0.0327657, -0.0157843, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0337806
63644, 0, -0.000231412, 0.0311506, -0.0201263, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0322451
63653, 0, -0.000231412, 0.0292459, -0.0241373, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0307096
63664, 0, -0.000231412, 0.0272789, -0.0271619, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0291741
63674, 0, -0.000231412, 0.0253712, -0.0290588, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0276386
63684, 0, -0.000231412, 0.0235712, -0.0299624, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0261032
63693, 0, -0.000231412, 0.021883, -0.0301164, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0245677
63704, 0, -0.000231412, 0.0202885, -0.0297741, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0230322
63714, 0, -0.000231412, 0.0176965, -0.0324733, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0199612
63724, 0, -0.000231412, 0.0156234, -0.0326298, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0184258
63733, 0, -0.000231412, 0.013911, -0.0314186, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0168903
63744, 0, -0.000231412, 0.0124176, -0.0296562, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0153548
63754, 0, -0.000231412, 0.011035, -0.0278385, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0138193
63764, 0, -0.000231412, 0.00969064, -0.0262162, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0122838
63773, 0, -0.000231412, 0.00834248, -0.0248761, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0107484
63783, 0, -0.000231412, 0.00697076, -0.0238093, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00921288
63794, 0, -0.000231412, 0.0055701, -0.0229627, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0076774
63804, 0, -0.000231412, 0.00414311, -0.0222707, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00614192
63814, 0, -0.000231412, 0.00269578, -0.0216736, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00460644
63823, 0, -0.000231412, 0.00230045, -0.0177999, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00460644
63834, 0, -0.000231412, 0.00142143, -0.0163568, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00307096
63844, 0, -0.000231412, 0.0002014, -0.0162493, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00153548
63854, 0, -0.000231412, -0.000163283, -0.0133797, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00153548
63863, 0, -0.000231412, -0.00111267, -0.01301, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0
63874, 0, -0.000231412, -0.00137374, -0.010491, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0
63884, 0, -0.000231412, -0.00231928, -0.0107065, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00153548
63894, 0, -0.000231412, -0.00262566, -0.00878145, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00153548
63903, 0, -0.000231412, -0.00256648, -0.00616275, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00153548
63913, 0, -0.000231412, -0.00340613, -0.0070036, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00307096
63924, 0, -0.000231412, -0.00372978, -0.00594355, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00307096
63934, 0, -0.000231412, -0.00374459, -0.00415079, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00307096
63944, 0, -0.000231412, -0.00360672, -0.0023245, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00307096
63953, 0, -0.000231412, -0.00341949, -0.000810321, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00307096
63964, 0, -0.000231412, -0.00324194, 0.000279977, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00307096
63974, 0, -0.000231412, -0.00310103, 0.000968327, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00307096
63984, 0, -0.000231412, -0.00300325, 0.00133766, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00307096
63993, 0, -0.000231412, -0.002944, 0.00148562, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00307096
64004, 0, -0.000231412, -0.00291412, 0.00149945, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00307096
64014, 0, -0.000231412, -0.00183813, 0.0047712, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00153548
64024, 0, -0.000231412, -0.0012491, 0.005607, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00153548
64033, 0, -0.000231412, -0.00100252, 0.00510929, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00153548
64044, 0, -0.000231412, -0.000966619, 0.00405334, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00153548
64054, 0, -0.000231412, -0.00103951, 0.00291611, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00153548
64064, 0, -0.000231412, -8.63794e-05, 0.00526947, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0
64073, 0, -0.000231412, 0.000392119, 0.00546502, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0
64083, 0, -0.000231412, 0.000554032, 0.0045773, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0
64094, 0, -0.000231412, 0.000533053, 0.00332302, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0
64104, 0, -0.000231412, 0.00042701, 0.00211624, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0
64114, 0, -0.000231412, 0.000298717, 0.00114952, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0
64123, 0, -0.000231412, 0.00124844, 0.00379882, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00153548
64134, 0, -0.000231412, 0.0017494, 0.00429802, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00153548
64144, 0, -0.000231412, 0.00194231, 0.00366308, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00153548
64154, 0, -0.000231412, 0.00195089, 0.00259143, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00153548
64163, 0, -0.000231412, 0.00186839, 0.00150036, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00153548
64174, 0, -0.000231412, 0.00175649, 0.000596049, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00153548
64184, 0, -0.000231412, 0.00165043, -5.4937e-05, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00153548
64194, 0, -0.000231412, 0.00156628, -0.000465814, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00153548
64203, 0, -0.000231412, 0.0015079, -0.000686179, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00153548
64214, 0, -0.000231412, 0.00147254, -0.000774381, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00153548
