QGPIORecord, QRC v6.1.0, 11-11-2021 @ 19:01:42, Windows 10 Version 1903, 10.0.18362, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
216510, -12, -45.8757, -45.2796, -26.0058, -25.6026, 0.198578, 0, 0, 0, 0, 0, 0
216520, -12, -46.1351, -45.5391, -25.9146, -25.564, 0.197167, 0, 0, 0, 0, 0, 0
216530, -12, -46.3946, -45.795, -25.9462, -25.9742, 0.197167, 0, 0, 0, 0, 0, 0
216541, -12, -46.6505, -46.051, -25.9637, -25.585, 0.197167, 0, 0, 0, 0, 0, 0
216550, -12, -46.91, -46.3104, -25.9637, -25.9462, 0.197167, 0, 0, 0, 0, 0, 0
216560, -12, -47.1695, -46.5664, -25.8936, -25.5956, 0.197167, 0, 0, 0, 0, 0, 0
216570, -12, -47.4289, -46.8259, -25.9357, -25.9532, 0.197167, 0, 0, 0, 0, 0, 0
216581, -12, -47.6884, -47.0818, -25.6131, -25.5956, 0.197167, 0, 0, 0, 0, 0, 0
216590, -12, -47.9479, -47.3378, -25.9252, -25.585, 0.197167, 0, 0, 0, 0, 0, 0
216600, -12, -48.2073, -47.5937, -25.9462, -25.9532, 0.197167, 0, 0, 0, 0, 0, 0
216610, -12, -48.4633, -47.8532, -25.9637, -25.5956, 0.197167, 0, 0, 0, 0, 0, 0
216621, -12, -48.7227, -48.1091, -25.9252, -25.9252, 0.198578, 0, 0, 0, 0, 0, 0
216630, -12, -48.9822, -48.3686, -25.6026, -25.5956, 0.197167, 0, 0, 0, 0, 0, 0
216640, -12, -49.2417, -48.6246, -25.9742, -25.6131, 0.177169, 0, 0, 0, 0, 0, 0
216650, -12, -49.5011, -48.8805, -25.9357, -25.9252, 0.17606, 0, 0, 0, 0, 0, 0
216660, -12, -49.7606, -49.14, -25.9462, -25.6236, 0.197167, 0, 0, 0, 0, 0, 0
216671, -12, -50.0165, -49.3959, -25.9146, -25.9146, 0.197167, 0, 0, 0, 0, 0, 0
216680, -12, -50.276, -49.6554, -25.9742, -25.585, 0.197167, 0, 0, 0, 0, 0, 0
216690, -12, -50.5355, -49.9114, -25.9041, -25.6131, 0.197167, 0, 0, 0, 0, 0, 0
216700, -12, -50.7949, -50.1673, -25.9532, -25.9462, 0.197167, 0, 0, 0, 0, 0, 0
216711, -12, -51.0544, -50.4268, -25.6131, -25.6026, 0.197167, 0, 0, 0, 0, 0, 0
216720, -12, -51.3139, -50.6862, -25.9252, -25.9041, 0.197167, 0, 0, 0, 0, 0, 0
216730, -12, -51.5733, -50.9422, -25.9532, -25.6447, 0.197167, 0, 0, 0, 0, 0, 0
216740, -12, -51.8293, -51.1981, -25.9637, -25.585, 0.197167, 0, 0, 0, 0, 0, 0
216751, -12, -52.0887, -51.4576, -25.9357, -25.9462, 0.198578, 0, 0, 0, 0, 0, 0
216760, -12, -52.3482, -51.7136, -25.585, -25.5745, 0.197167, 0, 0, 0, 0, 0, 0
216770, -12, -52.6077, -51.973, -25.9532, -25.9637, 0.197167, 0, 0, 0, 0, 0, 0
216780, -12, -52.8671, -52.229, -25.9742, -25.5956, 0.198578, 0, 0, 0, 0, 0, 0
216791, -12, -53.1266, -52.4849, -25.8936, -25.564, 0.197167, 0, 0, 0, 0, 0, 0
216801, -12, -53.386, -52.7444, -25.9462, -25.9532, 0.177169, 0, 0, 0, 0, 0, 0
216810, -12, -53.6455, -53.0004, -25.9953, -25.6131, 0.20001, 0, 0, 0, 0, 0, 0
216820, -12, -53.905, -53.2598, -25.9146, -25.9146, 0.197167, 0, 0, 0, 0, 0, 0
