QGPIORecord, QRC v6.1.0, 30-11-2021 @ 01:15:34, Windows 10 Version 1903, 10.0.18362, x86_64,,,,,,,
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
22451,6,6,28.0149,27.9027,12.2648,12.612,0.127219,0,2.26,0,0,0
22460,6,6,28.1411,28.0289,12.9766,12.2718,0.127768,0,2.27,0,0,0
22470,6,6,28.2673,28.1516,12.2718,12.6295,0.127219,0,2.28,0,0,0
22480,6,6,28.3935,28.2778,12.9626,12.612,0.115004,0,2.29,0,0,0
22491,6,6,28.5198,28.4041,12.2964,12.6295,0.127219,0,2.3,0,0,0
22500,6,6,28.646,28.5303,12.9626,12.612,0.127219,0,2.31,0,0,0
22510,6,6,28.7722,28.6565,12.2789,12.2894,0.127219,0,2.32,0,0,0
22520,6,6,28.8984,28.7827,12.6155,12.6225,0.127219,0,2.33,0,0,0
22531,6,6,29.0247,28.909,12.6049,12.6049,0.127219,0,2.34,0,0,0
22540,6,6,29.1509,29.0317,12.626,12.626,0.127219,0,2.35,0,0,0
22550,6,6,29.2771,29.1579,12.612,12.612,0.127219,0,2.36,0,0,0
22560,6,6,29.4033,29.2841,12.6365,12.2789,0.127219,0,2.37,0,0,0
22571,6,6,29.5296,29.4104,12.6049,12.6049,0.127219,0,2.38,0,0,0
22581,6,6,29.6558,29.5331,12.612,12.6155,0.126676,0,2.39,0,0,0
22590,6,6,29.782,29.6593,12.64,12.6225,0.127768,0,2.4,0,0,0
22600,6,6,29.9082,29.7855,12.6225,12.626,0.127219,0,2.41,0,0,0
22610,6,6,30.0345,29.9117,12.6225,12.2859,0.127219,0,2.42,0,0,0
22621,6,6,30.1607,30.038,12.612,12.612,0.115004,0,2.43,0,0,0
22630,6,6,30.2869,30.1607,12.6155,12.612,0.127219,0,2.44,0,0,0
22640,6,6,30.4131,30.2869,12.626,12.6295,0.127219,0,2.45,0,0,0
22650,6,6,30.5394,30.4131,12.6225,12.2718,0.127219,0,2.46,0,0,0
22661,6,6,30.6656,30.5359,12.6225,12.6225,0.127219,0,2.47,0,0,0
22670,6,6,30.7918,30.6621,12.626,12.612,0.127219,0,2.48,0,0,0
22680,6,6,30.918,30.7883,12.626,12.2754,0.127219,0,2.49,0,0,0
22690,6,6,31.0443,30.9145,12.6225,12.6365,0.127219,0,2.5,0,0,0
22701,6,6,31.167,31.0408,12.6225,12.6225,0.127219,0,2.51,0,0,0
22710,6,6,31.2932,31.1635,12.2613,12.6049,0.127219,0,2.52,0,0,0
22720,6,6,31.4229,31.2897,12.9731,12.6155,0.127219,0,2.53,0,0,0
22730,6,6,31.5457,31.4159,12.2789,12.2754,0.127219,0,2.54,0,0,0
22740,6,6,31.6719,31.5422,12.6225,12.6225,0.127219,0,2.55,0,0,0
22751,6,6,31.7981,31.6649,12.626,12.612,0.127768,0,2.56,0,0,0
22760,6,6,31.9243,31.7911,12.626,12.6225,0.127219,0,2.57,0,0,0
22770,6,6,32.0506,31.9173,12.6225,12.3034,0.115443,0,2.58,0,0,0
22780,6,6,32.1768,32.04,12.626,12.6225,0.115004,0,2.59,0,0,0
22791,6,6,32.2995,32.1663,12.6014,12.6014,0.127219,0,2.6,0,0,0
22800,6,6,32.4257,32.2925,12.6014,12.6049,0.127219,0,2.61,0,0,0
22810,6,6,32.5519,32.4152,12.2859,12.2859,0.127219,0,2.62,0,0,0
22820,6,6,32.6782,32.5414,12.6365,12.6225,0.127219,0,2.63,0,0,0
22831,6,6,32.8044,32.6677,12.6155,12.6155,0.127219,0,2.64,0,0,0
22840,6,6,32.9306,32.7939,12.6155,12.2789,0.127219,0,2.65,0,0,0
22850,6,6,33.0568,32.9166,12.626,12.6225,0.127219,0,2.66,0,0,0
22860,6,6,33.1796,33.0428,12.6049,12.612,0.127219,0,2.67,0,0,0
22871,6,6,33.3058,33.169,12.2859,12.2718,0.126676,0,2.68,0,0,0
22881,6,6,33.432,33.2918,12.6155,12.6155,0.127219,0,2.69,0,0,0
22890,6,6,33.5582,33.418,12.6365,12.626,0.127219,0,2.7,0,0,0
22900,6,6,33.6845,33.5442,12.626,12.2964,0.127219,0,2.71,0,0,0
22910,6,6,33.8107,33.6704,12.6225,12.626,0.127768,0,2.72,0,0,0
22921,6,6,33.9334,33.7967,12.612,12.612,0.127219,0,2.73,0,0,0
22930,6,6,34.0596,33.9194,12.6155,12.6014,0.115004,0,2.74,0,0,0
22940,6,6,34.1859,34.0456,12.626,12.6365,0.127219,0,2.75,0,0,0
22950,6,6,34.3121,34.1718,12.2718,12.2718,0.127219,0,2.76,0,0,0
22961,6,6,34.4383,34.2946,12.9626,12.6155,0.127219,0,2.77,0,0,0
22970,6,6,34.5645,34.4208,12.2859,12.6225,0.127219,0,2.78,0,0,0
22980,6,6,34.6908,34.547,12.9731,12.6225,0.127219,0,2.79,0,0,0
22990,6,6,34.817,34.6732,12.2754,12.2859,0.127219,0,2.8,0,0,0
23001,6,6,34.9432,34.7994,12.6049,12.6049,0.127219,0,2.81,0,0,0
23010,6,6,35.0694,34.9222,12.6295,12.6295,0.127219,0,2.82,0,0,0
23020,6,6,35.1957,35.0484,12.6014,12.6014,0.127219,0,2.83,0,0,0
23030,6,6,35.3219,35.1746,12.6225,12.2754,0.127219,0,2.84,0,0,0
23041,6,6,35.4481,35.3008,12.6225,12.6155,0.127219,0,2.85,0,0,0
23051,6,6,35.5743,35.4271,12.612,12.612,0.127219,0,2.86,0,0,0
23060,6,6,35.7006,35.5498,12.64,12.6225,0.127768,0,2.87,0,0,0
23070,6,6,35.8268,35.676,12.626,12.6365,0.115004,0,2.88,0,0,0
23080,6,6,35.953,35.8022,12.6155,12.2754,0.127219,0,2.89,0,0,0
23091,6,6,36.0757,35.9285,12.612,12.612,0.127219,0,2.9,0,0,0
23100,6,6,36.2019,36.0512,12.626,12.6225,0.127219,0,2.91,0,0,0
23110,6,6,36.3282,36.1774,12.6225,12.626,0.127219,0,2.92,0,0,0
23120,6,6,36.4544,36.3036,12.2754,12.6155,0.127219,0,2.93,0,0,0
